osm_id,name,road_type_i1,score_urban_gate,score_cruise_road,score_offroad,score_calm_road,score_flow,score_remoteness,score_twist,score_scenic,persona_milemuncher_score,persona_cornercraver_score,persona_trailblazer_score,persona_tranquiltraveller_score,persona
1287942496,NICE Peripheral Ring Road,NH,1.0,1.0,0.08,0.216,1.0,0.7918,0.0,1.0,0.9208,0.0,0.0563,0.207,milemuncher
53754963,NICE Peripheral Ring Road,NH,1.0,1.0,0.08,0.216,1.0,0.832,0.0,1.0,0.9168,0.0,0.057,0.2087,milemuncher
789173207,NICE Peripheral Ring Road,NH,1.0,1.0,0.08,0.216,1.0,0.8506,0.0,1.0,0.9149,0.0,0.0573,0.2095,milemuncher
789173209,NICE Peripheral Ring Road,NH,1.0,1.0,0.08,0.216,1.0,0.8506,0.0,1.0,0.9149,0.0,0.0573,0.2095,milemuncher
24430777,NICE Peripheral Ring Road,NH,1.0,1.0,0.08,0.216,1.0,0.8506,0.0,1.0,0.9149,0.0,0.0573,0.2095,milemuncher
1352001636,,NH,1.0,1.0,0.08,0.216,1.0,0.873,0.0,1.0,0.9127,0.0,0.0577,0.2105,milemuncher
1352001634,,NH,1.0,1.0,0.08,0.216,1.0,0.873,0.0,1.0,0.9127,0.0,0.0577,0.2105,milemuncher
183869101,NICE Expressway,NH,1.0,1.0,0.08,0.216,1.0,0.7747,0.0,0.88,0.9115,0.0,0.0546,0.1988,milemuncher
788462099,NICE Expressway,NH,1.0,1.0,0.08,0.216,1.0,0.7754,0.0,0.88,0.9114,0.0,0.0546,0.1989,milemuncher
160015344,NICE Peripheral Ring Road,NH,1.0,1.0,0.08,0.216,1.0,0.7831,0.0,0.88,0.9106,0.0,0.0547,0.1992,milemuncher
1150133588,,Res,1.0,0.16,0.8,0.3,1.0,0.9985,1.0,1.0,0.0936,0.9759,0.5997,0.2549,cornercraver
819310673,,Res,1.0,0.16,0.8,0.3,1.0,0.999,1.0,1.0,0.0936,0.9759,0.5998,0.2549,cornercraver
815190587,,Res,1.0,0.16,0.8,0.3,1.0,0.9982,1.0,1.0,0.0936,0.9758,0.5997,0.2549,cornercraver
809028116,,Res,1.0,0.16,0.8,0.3,1.0,0.9978,1.0,1.0,0.0936,0.9758,0.5996,0.2549,cornercraver
1444155832,,Res,1.0,0.16,0.8,0.3,1.0,0.9979,1.0,1.0,0.0936,0.9758,0.5996,0.2549,cornercraver
816370129,,Res,1.0,0.16,0.8,0.3,1.0,0.9983,1.0,1.0,0.0936,0.9758,0.5997,0.2549,cornercraver
809419100,,Res,1.0,0.16,0.8,0.3,1.0,0.9977,1.0,1.0,0.0936,0.9758,0.5996,0.2549,cornercraver
815190585,,Res,1.0,0.16,0.8,0.3,1.0,0.9982,1.0,1.0,0.0936,0.9758,0.5997,0.2549,cornercraver
1434979773,,Res,1.0,0.16,0.8,0.3,1.0,0.9969,1.0,1.0,0.0936,0.9757,0.5994,0.2548,cornercraver
803548266,,Res,1.0,0.16,0.8,0.3,1.0,0.997,1.0,1.0,0.0936,0.9757,0.5995,0.2548,cornercraver
1362535561,,Res,1.0,0.16,0.8,0.3,0.6237,0.9204,0.0,1.0,0.0906,0.0,0.6591,0.2675,trailblazer
1346942595,,Res,1.0,0.16,0.8,0.3,0.5,0.9524,0.0,0.75,0.0706,0.0,0.6555,0.2405,trailblazer
779857355,,Res,1.0,0.16,0.8,0.3,0.5,0.9356,0.0,0.75,0.0707,0.0,0.6522,0.2397,trailblazer
821285628,,Res,1.0,0.16,0.8,0.3,0.5,0.9354,0.0,0.75,0.0707,0.0,0.6521,0.2397,trailblazer
821285627,,Res,1.0,0.16,0.8,0.3,0.5,0.9354,0.0,0.75,0.0707,0.0,0.6521,0.2397,trailblazer
780259685,,Res,1.0,0.16,0.8,0.3,0.5,0.9328,0.0,0.75,0.0707,0.0,0.6516,0.2395,trailblazer
1292765133,,Res,1.0,0.16,0.8,0.3,0.5172,0.9479,0.0,0.75,0.073,0.0,0.6514,0.2415,trailblazer
1371552507,,Res,1.0,0.16,0.8,0.3,0.5,0.929,0.0,0.75,0.0708,0.0,0.6508,0.2394,trailblazer
1361104659,,Res,1.0,0.16,0.8,0.3,0.5,0.9278,0.0,0.75,0.0708,0.0,0.6506,0.2393,trailblazer
